,lc_n,counter,t0,tE,u0,log10(q1),log10(q2),dis1,dis2,log10(ro_star),mbase,fbW,chi_binary,chi_triple,Delta chi,ndat
379,380,2918,9.3627,36.0065,0.7614,-3.72452,-3.73911,0.62782,0.08883,-2.8911,18.0344,0.9344,4170.16,49955.5,45785.33,4310
380,381,533,55.75785,12.7114,0.004,-3.96522,-3.5682,0.62516,0.08009,-3.26817,19.7645,0.0594,1761.78,704785.71,703023.93,1801
381,382,1509,39.90643,14.8283,0.0166,-3.34045,-3.60578,0.28336,0.00795,-2.65805,19.3347,0.9096,2829.52,201115.72,198286.2,2817
382,383,2114,1.9365,28.9166,0.3284,-3.74902,-3.18994,0.85918,0.00702,-2.75404,19.5553,0.4651,2859.67,11908.23,9048.56,2931
383,384,1774,43.67306,8.4479,0.1852,-3.4846,-4.47117,0.99123,0.05718,-2.58279,18.7337,0.8692,1579.16,5039.52,3460.37,1605
384,385,945,2.98806,29.9538,0.3021,-3.30175,-4.01337,0.81547,0.00959,-2.97609,21.2278,0.5482,3006.6,16563.76,13557.16,3129
385,386,2718,25.72113,9.7011,0.1474,-1.93354,-3.97409,11.71078,0.11642,-2.3473,18.315,0.5744,1775.76,4032.84,2257.08,1843
386,387,119,46.87296,14.2797,0.0014,-3.56829,-3.47797,0.1863,8.01635,-3.18749,20.713,0.5735,2587.86,705398.77,702810.91,2713
387,388,2781,27.76065,12.1767,0.2072,-3.3609,-3.87654,0.97257,0.02677,-2.47231,20.5191,0.6939,2224.91,3269.38,1044.48,2314
388,389,649,40.34674,128.2761,0.0148,-3.3675,-3.86826,2.02178,0.94303,-3.32248,18.8417,0.1347,5659.94,379708.14,374048.2,5889
389,390,1402,13.68555,4.5242,0.029,-3.50262,-4.87634,0.99822,0.00382,-3.03924,21.0794,0.056,793.44,1686.88,893.44,860
390,391,1677,43.07466,7.4756,0.0311,-3.5084,-3.70512,0.72444,2.7865,-2.91268,19.6169,0.3084,1363.87,115965.31,114601.44,1421
391,392,1893,19.75669,32.8919,0.3224,-3.00988,-3.91447,1.03337,11.93347,-2.66601,19.1254,0.8211,4763.67,49338.85,44575.18,5001
392,393,997,11.62811,97.4343,0.2855,-4.38957,-1.79007,1.22825,8.50923,-3.4521,18.6172,0.2899,5668.5,3336035.01,3330366.52,5889
393,394,2294,32.24558,8.6103,0.3115,-3.13004,-3.53042,0.62997,0.03988,-2.20846,18.4555,0.5565,1518.15,10933.49,9415.34,1636
394,395,3053,32.75906,4.0835,0.0321,-3.34539,-3.25883,1.34287,0.01016,-2.54627,20.9911,0.4934,665.1,7401.28,6736.18,776
395,396,483,28.28241,7.4672,0.4133,-3.45222,-3.11243,0.67806,0.24804,-2.63304,17.9234,0.3616,1482.99,40528.14,39045.15,1419
396,397,1837,58.65857,2.5264,0.4518,-2.55733,-3.69257,0.76278,82.52403,-2.54289,21.0853,0.7149,490.65,774.8,284.15,480
397,398,1024,43.87679,23.2477,0.0186,-2.37132,-4.09222,5.88668,0.02246,-2.82521,18.7159,0.619,3728.3,94324.83,90596.53,3930
398,399,2289,50.6485,3.8501,0.536,-2.30353,-3.88851,0.56212,0.12612,-2.48782,19.9085,0.3307,733.28,1253.61,520.33,732
399,400,2376,6.32724,3.0606,0.0631,-2.90359,-2.41262,0.53358,0.1908,-2.02819,19.0594,0.68,546.2,102753.21,102207.01,582
400,401,1051,61.7021,12.7495,0.0454,-3.77035,-3.6899,1.02613,13.10606,-3.24109,20.3481,0.902,1221.76,3721.54,2499.79,1240
401,402,655,32.81047,8.2545,0.021,-1.51245,-3.96774,0.10742,1.95188,-2.62932,19.3239,0.864,1574.18,12855.27,11281.09,1569
402,403,179,56.19822,7.753,0.3183,-3.62338,-4.27079,1.32521,0.02018,-2.70397,21.0813,0.6327,1289.46,2450.5,1161.04,1288
403,404,1213,19.92647,59.9623,0.0568,-3.73148,-3.73599,0.95754,4.05439,-3.18164,18.3452,0.9463,5754.02,2430249.63,2424495.61,5890
404,405,402,26.08648,40.3687,0.0631,-2.38153,-4.20214,0.19327,0.00288,-3.19246,20.9696,0.715,5781.46,38150.16,32368.7,5889
405,406,1839,61.34716,5.6541,0.0113,-2.85703,-3.27477,9.18221,0.77487,-2.85767,21.4551,0.2406,559.63,28040.87,27481.24,600
406,407,121,38.84649,10.4072,0.3219,-3.75562,-1.97729,1.10427,4.78071,-2.38692,18.5818,0.7152,1916.15,2700732.54,2698816.4,1978
407,408,662,21.45069,8.8135,0.03,-3.0519,-3.58004,1.40062,6.17976,-3.27441,18.7801,0.033,1661.42,787221.1,785559.69,1675
408,409,1793,10.28714,22.5227,0.5393,-2.8657,-3.7215,2.18403,0.0298,-2.5334,18.3278,0.8454,3030.58,18767.66,15737.08,3116
409,410,1864,21.24706,13.8843,0.2488,-3.7545,-3.76089,0.91581,0.01049,-1.84165,17.9029,0.9452,2468.41,2645.93,177.52,2638
410,411,111,11.97079,47.6909,0.01,-2.10192,-3.35207,0.19229,3.95314,-3.03711,19.4071,0.699,5482.21,4612750.19,4607267.98,5667
411,412,1343,19.20357,16.3669,0.0519,-3.88715,-4.3933,1.05304,0.00461,-2.82025,19.2785,0.9606,2984.7,43454.36,40469.65,3110
412,413,2486,4.32881,32.8295,0.2537,-4.18277,-4.47998,1.1124,18.82344,-2.41594,18.0766,0.8655,3482.31,9465.44,5983.13,3529
413,414,1235,28.08249,7.7591,0.2341,-1.96947,-4.49794,23.22845,0.04406,-2.39844,20.3288,0.4545,1398.63,1534.34,135.71,1475
414,415,1802,46.39563,4.2841,0.3728,-3.70807,-3.86175,1.7401,0.01432,-2.15116,19.254,0.8463,771.75,845.15,73.4,814
415,416,597,45.48271,8.313,0.0625,-3.47327,-4.58412,0.91054,16.92244,-3.0277,21.1625,0.2569,1521.27,5846.24,4324.97,1580
416,417,1078,36.00954,18.4594,0.1574,-2.8085,-3.75187,1.32682,48.68235,-2.91872,20.3966,0.5701,3415.82,16270.04,12854.22,3507
417,418,2324,61.9725,10.9718,0.2581,-1.92501,-3.48835,17.19294,0.02815,-2.40788,18.8445,0.6173,1005.16,5675.19,4670.03,1045
418,419,2815,9.75416,6.2416,0.5156,-2.96873,-4.06489,1.40244,0.03949,-2.40583,19.68,0.3761,1160.37,1585.08,424.71,1186
419,420,2081,15.59185,15.4229,0.1523,-2.9844,-4.05025,1.2823,0.04226,-2.80847,19.6213,0.5279,2962.97,44455.86,41492.89,2930
420,421,1294,14.26604,7.8074,0.1121,-2.97888,-2.92355,0.77235,0.01271,-2.96281,19.7049,0.1075,1453.76,64044.09,62590.33,1484
421,422,617,38.50986,7.1092,0.0219,-2.20642,-4.19116,3.73359,22.37007,-2.23449,18.4124,0.6314,1337.56,2422.99,1085.43,1351
422,423,260,54.77798,22.7264,0.1335,-3.15184,-3.80428,0.66377,0.77654,-2.39116,16.6766,0.6024,2981.83,31685.78,28703.94,2845
423,424,1135,55.44565,32.79,0.1459,-3.74183,-3.66958,1.0799,20.78614,-3.3213,21.3546,0.4044,3506.46,35245.3,31738.84,3738
424,425,3037,33.12064,26.9229,0.0425,-2.70754,-3.98022,2.25861,1.30182,-2.95948,17.8544,0.8496,4897.81,1103814.42,1098916.61,5115
425,426,2624,56.06491,13.1483,0.0514,-1.78347,-3.6055,0.14911,0.53727,-2.81987,19.8294,0.5971,1803.46,207073.7,205270.24,1813
426,427,2234,52.76876,27.421,0.0716,-3.20456,-3.09056,0.93924,0.31481,-2.50051,18.5135,0.9468,3279.62,574384.07,571104.46,3482
427,428,1731,10.745,5.7553,0.2284,-3.44695,-3.4545,1.0317,0.30014,-2.2295,18.2107,0.978,1067.73,13800.09,12732.37,1094
428,429,733,3.44513,6.0797,0.0123,-3.25779,-3.97296,0.41657,7.55953,-2.45045,20.4179,0.3901,779.47,3592.95,2813.48,904
429,430,1635,53.67699,30.2239,0.823,-2.09482,-4.26324,1.28374,1.49741,-2.4922,18.338,0.9062,3479.93,10148.82,6668.89,3662
430,431,22,58.63581,25.0747,0.57,-3.66175,-3.52038,1.30119,0.00751,-3.16494,18.9485,0.3291,2622.28,29174.57,26552.29,2702
431,432,1108,50.59041,36.6384,0.1336,-3.36975,-3.68535,1.0838,0.05851,-2.95133,16.5908,0.1374,4452.73,341567.73,337115.0,4564
432,433,2355,38.19566,28.2736,0.0239,-3.65737,-3.69692,1.34013,4.80777,-2.84603,18.6018,0.0914,4693.43,766209.06,761515.63,4947
433,434,671,24.49854,5.4391,0.0071,-2.99367,-4.05629,0.97457,0.85789,-2.53374,19.9146,0.8104,1008.32,6248.77,5240.46,1034
434,435,2885,26.9007,26.2608,0.1026,-3.71683,-4.35708,1.16536,0.0071,-2.96989,20.9478,0.5954,4826.94,34539.3,29712.36,4989
435,436,3028,5.98306,30.2713,0.2011,-4.21307,-4.11265,0.94506,0.00278,-3.1652,18.2769,0.5752,3384.79,8951.84,5567.05,3443
